stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
C1I131,桶頭,311.0,120.654117,23.641944,南投縣,竹山鎮鯉南路338號旁,2011/11/01,,原(C1I130)站因儀器汰換，於2011/11/1更變為(C1I131)站。,C1I130,
C1I140,卡奈托灣,1700.0,121.08787199999999,23.754364000000002,南投縣,信義鄉丹大事業區第16林班地,1993/01/21,,本站於2015/4/1起進行儀器汰換，並於2015/7/1完成驗收。,,
C1I150,青雲,393.0,120.949378,23.793360999999997,南投縣,信義鄉地利村5鄰開信巷98-3號旁,1992/12/01,,本站於2015/9/11起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I201,中心崙,677.0,120.712097,23.728722,南投縣,竹山鎮之中心崙林道4.1km處,2011/11/01,,原(C1I200)站因儀器汰換，於2011/11/1更變為(C1I201)站。,C1I200,
C1I211,蘆竹湳,529.0,120.811994,23.934019,南投縣,中寮鄉清水村龍林巷4鄰58之6號旁,2011/11/01,,原(C1I210)站因儀器汰換，於2011/11/1更變為(C1I211)站。,C1I210,
C1I220,樟湖,1098.0,120.84698300000001,23.905333,南投縣,國姓鄉147縣道9km處與站址直線距離約1.6km,2002/05/04,,本站於2015/9/8起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I230,九份二山,837.0,120.845,23.961944,南投縣,國姓鄉南港村九份二山上(921地震紀念公園內),2002/05/07,,更正座標。本站於2015/7/23起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I240,外大坪,725.0,120.91793100000001,23.958697,南投縣,埔里鎮種瓜路(投68)路口至站址車程約20分鐘,2002/05/03,,本站於2015/7/20起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I250,鯉潭,732.0,120.99113100000001,23.961922,南投縣,埔里鎮埔里高工旁中心路2km處,2002/04/30,,原名為埔里，於2015/8/17更名為鯉潭。本站於2015/8/17起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I260,北坑,601.0,121.00690300000001,23.9246,南投縣,埔里鎮麒麟里4鄰武界路31號旁,2002/05/02,,本站於2015/8/7起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I280,埔中,439.0,120.64259399999999,23.820778,南投縣,名間鄉埔中村11之3號後面,2002/02/28,,本站於2015/9/9起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I290,豐丘,1151.0,120.887417,23.668178,南投縣,信義鄉豐丘村豐丘產業道路末端,2002/03/05,,本站於2015/9/17起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I310,西巒,1033.0,120.88395600000001,23.754486,南投縣,信義鄉台21線道之人倫林道9.5k處,2002/04/25,,更正座標。本站於2015/8/21起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I320,奧萬大,1275.0,121.178556,23.952956,南投縣,仁愛鄉奧萬大森林遊樂區內(員工宿舍),2002/05/15,,短距離移位。本站於2015/8/19起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I330,楓樹林,1266.0,121.076117,23.986803,南投縣,仁愛鄉埔里事業區107林班地(臺14線近埔里市區),2002/05/01,,本站於2015/8/3起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I340,新興橋,897.0,120.868728,23.563333,南投縣,信義鄉臺21線新興橋附近,2002/03/09,,本站於2015/9/15起進行儀器汰換，並於2015/12/31完成驗收。,,
C1I400,凌霄,1399.0,121.004456,24.018778,南投縣,仁愛鄉守城段4地號,2015/08/28,,,,
C1I430,翠華,2415.0,121.22433899999999,24.191961,南投縣,仁愛鄉翠華村華岡段70地號內,2015/08/06,,,,
C1I440,新高口,2540.0,120.87893899999999,23.478744,南投縣,信義鄉新高口(臺18線約107.5k處路旁，對高岳營林區第31林班446號林地內),1992/01/21,,原(C1M440)站因縣市代碼不符，於2015/4/13重新編碼為(C1I440)站。本站於2015/10/2起進行儀器汰換，並於2015/12/31完成驗收。,C1M440,
C1I450,望鄉山,3025.0,120.944286,23.594153,南投縣,信義鄉巒大事業區第131林班內(郡大林道約32K附近，望鄉山三角點旁),2015/11/06,,,,
C1I470,杉林溪,1680.0,120.78644399999999,23.639517,南投縣,竹山鎮大鞍里(杉林溪森林生態渡假園區收費亭附近，向欣谷碑旁),2015/11/05,,,,
C1I500,大尖山,2017.0,120.99488899999999,23.858572,南投縣,仁愛鄉大尖山,2015/11/12,,,,
C1I510,線浸林道,1208.0,120.83295600000001,23.761508,南投縣,鹿谷鄉線浸林道11k附近,2015/11/17,,,,
C1K540,口湖,15.0,120.180517,23.585344,雲林縣,口湖鄉口湖村中正路一段280號(口湖消防分隊),2015/10/30,,,,
C1M390,龍美,1090.0,120.654417,23.406728,嘉義縣,番路鄉公興村隆美地區(舊地名為瀨頭)私人茶園內,1988/10/07,,本站於 2013/4/27 進行儀器汰換，並於2013/8/1完成驗收。,,
C1M400,菜瓜坪,369.0,120.576103,23.251928,嘉義縣,大埔鄉西興村,1988/10/07,,本站於 2013/4/18 進行儀器汰換，並於2013/8/1完成驗收。,,
C1M480,獨立山,840.0,120.60779699999999,23.537022,嘉義縣,竹崎鄉(獨立山三角點旁),1992/12/31,,原名為樟腦寮，於2015/7/15更名為獨立山。本站於2015/7/13起進行儀器汰換，並於2015/12/31完成驗收。,,
C1M600,頭凍,986.0,120.60333899999999,23.406364,嘉義縣,番路鄉阿里山公路23k處轉入興社產業道路盡頭,2002/04/11,,本站於2015/7/2起進行儀器汰換，並於2015/12/31完成驗收。,,
